año,mes,energia_gwh,potencia_mw,time_idx,mes_pasado,este,norte,sur
2012,1,134.718079,50.14500800000001,1,134.149974,1,0,0
2012,2,134.149974,50.98260800000002,2,134.718079,1,0,0
2012,3,167.726941,50.21015799999999,3,134.149974,1,0,0
2012,4,174.17246799999998,53.07552599999999,4,167.726941,1,0,0
2012,5,185.099284,52.616166,5,174.17246799999998,1,0,0
2012,6,200.959122,51.81963799999998,6,185.099284,1,0,0
2012,7,201.906391,52.272409999999994,7,200.959122,1,0,0
2012,8,195.002795,51.459706000000004,8,201.906391,1,0,0
2012,9,197.93845199999998,55.50598599999999,9,195.002795,1,0,0
2012,10,207.12043400000002,41.369412,10,197.93845199999998,1,0,0
2012,11,193.872164,51.684634,11,207.12043400000002,1,0,0
2012,12,187.406358,52.93574799999999,12,193.872164,1,0,0
2013,1,172.358822,30.034151999999995,13,187.406358,1,0,0
2013,2,172.111358,57.39082,14,172.358822,1,0,0
2013,3,173.575534,55.952298,15,172.111358,1,0,0
2013,4,178.642411,55.591747999999995,16,173.575534,1,0,0
2013,5,187.708487,55.879016,17,178.642411,1,0,0
2013,6,190.42717599999997,56.40291599999999,18,187.708487,1,0,0
2013,7,193.982767,62.82395,19,190.42717599999997,1,0,0
2013,8,203.471789,74.2766,20,193.982767,1,0,0
2013,9,207.537172,72.915358,21,203.471789,1,0,0
2013,10,203.332165,62.231972000000006,22,207.537172,1,0,0
2013,11,189.850291,51.162518000000006,23,203.332165,1,0,0
2013,12,181.445871,59.23918399999999,24,189.850291,1,0,0
2014,1,169.452673,64.29269800000054,25,181.445871,1,0,0
2014,2,185.660423,57.7503,26,169.452673,1,0,0
2014,3,178.015779,52.329724,27,185.660423,1,0,0
2014,4,194.360739,52.539210000000004,28,178.015779,1,0,0
2014,5,192.472037,44.73162799999999,29,194.360739,1,0,0
2014,6,201.422299,59.01703399999999,30,192.472037,1,0,0
2014,7,210.056496,53.148666000000006,31,201.422299,1,0,0
2014,8,201.196714,53.073766,32,210.056496,1,0,0
2014,9,192.549522,52.654618000000006,33,201.196714,1,0,0
2014,10,202.305226,53.64095600000002,34,192.549522,1,0,0
2014,11,200.99789099999998,53.14802999999999,35,202.305226,1,0,0
2014,12,194.71416399999998,53.200122,36,200.99789099999998,1,0,0
2015,1,190.456654,53.08653800000004,37,194.71416399999998,1,0,0
2015,2,191.31445300000001,53.463498,38,190.456654,1,0,0
2015,3,178.622085,53.70147599999998,39,191.31445300000001,1,0,0
2015,4,192.27185500000002,53.94159399999999,40,178.622085,1,0,0
2015,5,205.814134,54.01107799999998,41,192.27185500000002,1,0,0
2015,6,201.771412,53.781227999999984,42,205.814134,1,0,0
2015,7,210.233991,54.130866000000005,43,201.771412,1,0,0
2015,8,220.67604,54.126733999999985,44,210.233991,1,0,0
2015,9,209.81600600000002,53.896268,45,220.67604,1,0,0
2015,10,215.44163,54.355178,46,209.81600600000002,1,0,0
2015,11,205.46279199999998,54.031034,47,215.44163,1,0,0
2015,12,197.90378399999997,54.50453,48,205.46279199999998,1,0,0
2016,1,200.150797,57.499270000000024,49,197.90378399999997,1,0,0
2016,2,192.17411099999998,55.90281800000001,50,200.150797,1,0,0
2016,3,194.19838199999998,56.29373399999999,51,192.17411099999998,1,0,0
2016,4,203.906078,57.148288,52,194.19838199999998,1,0,0
2016,5,207.120156,56.855106,53,203.906078,1,0,0
2016,6,215.960919,57.73622600000001,54,207.120156,1,0,0
2016,7,217.267048,57.52492600000001,55,215.960919,1,0,0
2016,8,221.376116,57.002278000000004,56,217.267048,1,0,0
2016,9,217.274708,57.599234,57,221.376116,1,0,0
2016,10,213.323439,57.19445400000002,58,217.274708,1,0,0
2016,11,207.648385,57.24138400000002,59,213.323439,1,0,0
2016,12,194.12,57.14200000000001,60,207.648385,1,0,0
2017,1,192.144915,56.26597800000002,61,194.12,1,0,0
2017,2,182.754118,56.48010800000001,62,192.144915,1,0,0
2017,3,188.328145,56.46715400000001,63,182.754118,1,0,0
2017,4,197.10999999999999,56.102,64,188.328145,1,0,0
2017,5,198.54000000000002,56.577999999999996,65,197.10999999999999,1,0,0
2017,6,215.58,55.874,66,198.54000000000002,1,0,0
2017,7,215.20999999999998,55.77,67,215.58,1,0,0
2017,8,219.84841600000001,56.765102,68,215.20999999999998,1,0,0
2017,9,215.19016900000003,59.615318000000016,69,219.84841600000001,1,0,0
2017,10,207.41,56.39000000000001,70,215.19016900000003,1,0,0
2017,11,207.496279,62.65683800000001,71,207.41,1,0,0
2017,12,204.277296,57.316514000000005,72,207.496279,1,0,0
2018,1,191.402533,56.725836,73,204.277296,1,0,0
2018,2,184.99510099999998,56.779028,74,191.402533,1,0,0
2018,3,187.27634899999998,57.504092,75,184.99510099999998,1,0,0
2018,4,198.283003,58.660883999999996,76,187.27634899999998,1,0,0
2018,5,208.46380000000002,78.68145600000001,77,198.283003,1,0,0
2018,6,231.670966,58.834794,78,208.46380000000002,1,0,0
